계정항목,      주택임차료,        전세,        월세,      주거시설 유지·보수,      상하수도료,        상수도료,        하수도료,        공동주택관리비,      전기,      가스,        등유,        지역난방비
단위,2020=100,2020=100,2020=100,2020=100,2020=100,2020=100,2020=100,2020=100,2020=100,2020=100,2020=100,2020=100
2007/01,77.038,71.11,87.931,63.595,64.505,83.112,36.86,58.278,104.498,86.637,101.027,81.228
2007/02,77.19,71.251,88.019,63.657,64.505,82.877,37.185,59.47,104.498,87.016,99.521,80.196
2007/03,77.265,71.389,88.019,63.719,64.685,83.112,37.282,59.307,104.498,85.119,101.027,80.196
2007/04,77.418,71.529,88.106,63.719,64.744,83.191,37.282,58.711,104.498,85.119,103.936,80.126
2007/05,77.494,71.669,88.106,63.78,64.744,83.191,37.282,58.765,104.498,88.229,105.642,80.126
2007/06,77.569,71.738,88.195,63.78,65.342,84.13,37.412,58.17,104.498,88.306,105.942,80.264
2007/07,77.646,71.808,88.282,63.78,65.521,84.443,37.444,57.899,104.498,90.733,106.645,80.264
2007/08,77.798,71.948,88.37,63.842,65.521,84.443,37.444,58.765,104.498,90.733,107.448,80.333
2007/09,77.873,72.017,88.458,63.903,65.521,84.443,37.444,58.983,104.498,96.119,108.351,80.333
2007/10,77.95,72.157,88.545,63.903,65.521,84.443,37.444,58.386,104.498,96.119,110.959,80.677
2007/11,78.177,72.366,88.81,63.903,65.521,84.443,37.444,58.386,104.498,98.622,120.39,86.597
2007/12,78.33,72.505,88.897,63.903,65.521,84.443,37.444,59.036,104.498,99.078,126.008,86.734
2008/01,78.481,72.645,88.985,63.903,67.016,85.694,39.197,59.957,104.498,96.499,115.976,86.734
2008/02,78.634,72.784,89.161,63.965,67.673,86.086,40.169,63.044,104.498,96.499,113.668,86.804
2008/03,78.785,72.994,89.248,64.088,67.972,86.4,40.494,62.719,104.498,96.347,121.794,86.804
2008/04,79.013,73.202,89.424,66.243,67.972,86.4,40.494,62.178,104.498,98.244,136.341,86.804
2008/05,79.165,73.342,89.688,66.674,68.271,86.868,40.494,61.853,104.498,98.547,154.7,86.804
2008/06,79.394,73.551,89.863,67.166,68.271,86.868,40.494,61.365,104.498,99.306,173.762,86.804
2008/07,79.545,73.76,89.951,67.659,68.152,86.712,40.494,61.094,104.498,99.686,176.772,86.804
2008/08,79.697,73.9,90.04,68.028,68.152,86.712,40.494,61.528,104.498,99.686,166.138,94.72
2008/09,79.773,73.969,90.127,68.952,68.152,86.712,40.494,61.691,104.498,99.382,155.503,94.72
2008/10,80.001,74.179,90.303,69.629,68.152,86.712,40.494,61.582,104.498,99.686,148.682,94.72
2008/11,80.153,74.317,90.479,69.629,68.152,86.712,40.494,61.691,104.498,103.782,130.924,103.669
2008/12,80.229,74.457,90.567,69.752,68.152,86.712,40.494,62.395,104.498,102.189,113.066,103.669
2009/01,80.305,74.527,90.654,69.813,68.271,86.868,40.494,63.477,104.498,99.988,104.137,104.013
2009/02,80.305,74.527,90.654,69.998,67.853,86.164,40.494,64.723,104.498,99.988,106.144,103.875
2009/03,80.305,74.527,90.654,70.06,67.972,86.164,40.819,64.128,104.498,102.417,107.146,103.875
2009/04,80.381,74.597,90.742,69.998,68.391,86.868,40.819,63.477,104.498,102.34,107.949,103.875
2009/05,80.533,74.736,90.742,69.875,68.092,86.321,40.819,63.262,104.498,101.505,106.945,95.339
2009/06,80.533,74.736,90.83,69.936,68.391,86.868,40.819,62.774,104.498,101.277,111.561,95.339
2009/07,80.609,74.806,90.917,69.69,68.391,86.868,40.819,62.665,104.498,105.906,114.77,95.339
2009/08,80.76,74.945,91.005,69.567,68.391,86.868,40.819,63.64,104.498,106.437,115.976,99.126
2009/09,80.836,75.085,91.093,69.506,68.391,86.868,40.819,63.64,104.498,106.437,116.477,99.126
2009/10,80.913,75.155,91.181,69.506,68.391,86.868,40.819,63.262,104.498,106.513,113.367,99.126
2009/11,81.064,75.293,91.357,69.506,68.391,86.868,40.819,62.99,104.498,107.043,117.782,102.43
2009/12,81.217,75.364,91.533,69.506,68.631,86.868,41.403,64.019,104.498,107.423,117.479,102.43
2010/01,81.339,75.527,91.624,70.159,68.894,86.875,41.987,64.648,104.51,108.091,119.242,102.513
2010/02,81.503,75.68,91.716,70.159,68.619,86.44,41.987,66.267,104.51,107.982,118.5,102.513
2010/03,81.585,75.832,91.808,70.159,68.619,86.44,41.987,65.685,104.51,108.309,119.613,102.513
2010/04,81.749,75.986,91.9,70.229,68.963,86.962,41.987,64.972,104.51,108.091,122.454,102.513
2010/05,81.913,76.215,91.992,70.37,68.963,86.962,41.987,64.972,104.51,108.091,124.307,102.513
2010/06,82.078,76.367,92.085,70.511,68.963,86.962,41.987,64.065,104.51,108.091,123.69,102.513
2010/07,82.242,76.521,92.177,70.582,68.963,86.962,41.987,63.935,104.51,108.309,124.431,102.513
2010/08,82.324,76.673,92.269,70.653,68.963,86.962,41.987,64.583,106.617,107.982,124.431,99.273
2010/09,82.488,76.827,92.361,70.653,68.963,86.962,41.987,64.259,106.617,113.109,124.061,99.273
2010/10,82.652,76.979,92.545,70.794,68.963,86.962,41.987,64.195,106.617,113.327,124.185,99.375
2010/11,82.899,77.208,92.729,70.935,68.963,86.962,41.987,64.454,106.617,108.746,126.038,99.375
