계정항목,  무담보콜금리(1일),KORIBOR(3개월),CD(91일),국고채(1년),국고채(10년)
단위,연%,연%,연%,연%,연%
2007/01,4.63,4.91,4.92,4.98,5.04
2007/02,4.6,4.95,4.95,4.96,5.01
2007/03,4.6,4.94,4.94,4.89,4.94
2007/04,4.69,4.95,4.95,4.97,5.07
2007/05,4.61,5.03,5.04,5.11,5.22
2007/06,4.54,5.04,5.03,5.15,5.48
2007/07,4.67,5.05,5.05,5.29,5.52
2007/08,4.92,5.2,5.21,5.3,5.42
2007/09,4.98,5.33,5.34,5.39,5.52
2007/10,5,5.34,5.34,5.34,5.56
2007/11,5,5.39,5.43,5.36,5.61
2007/12,4.99,5.69,5.73,5.6,5.82
2008/01,4.99,5.81,5.81,5.47,5.56
2008/02,4.97,5.33,5.28,5,5.28
2008/03,4.97,5.24,5.25,5.05,5.36
2008/04,4.99,5.35,5.38,5.06,5.17
2008/05,4.97,5.35,5.36,5.07,5.5
2008/06,4.95,5.36,5.36,5.22,5.89
2008/07,4.98,5.5,5.52,5.41,6.03
2008/08,5.21,5.76,5.77,5.44,5.91
2008/09,5.21,5.79,5.79,5.48,5.99
2008/10,4.88,5.97,6.03,5.2,5.53
2008/11,4,5.59,5.62,5.03,5.73
2008/12,3.27,4.72,4.68,3.99,4.87
2009/01,2.43,3.27,3.22,2.72,4.42
2009/02,2.06,2.7,2.7,2.36,5.24
2009/03,1.77,2.44,2.45,2.51,4.97
2009/04,1.8,2.41,2.42,2.49,4.9
2009/05,1.91,2.41,2.41,2.56,5.05
2009/06,1.93,2.41,2.41,2.85,5.26
2009/07,1.93,2.41,2.41,2.75,5.18
2009/08,1.98,2.47,2.48,3.14,5.44
2009/09,1.99,2.62,2.64,3.44,5.38
2009/10,1.99,2.78,2.79,3.52,5.45
2009/11,2,2.79,2.79,3.28,5.39
2009/12,2,2.82,2.82,3.3,5.31
2010/01,2,2.88,2.88,3.29,5.35
2010/02,2,2.88,2.88,3.12,5.3
2010/03,2.01,2.82,2.83,2.83,4.92
2010/04,2,2.54,2.51,2.67,4.91
