계정항목,미국달러,위안,일본엔,유로
단위,원 ,원 ,원 ,원 
2007/01,940.9,,7.731,1220.07
2007/02,938.3,,7.9389,1241.89
2007/03,940.3,,7.97,1253.94
2007/04,929.4,,7.7833,1266.91
2007/05,929.9,,7.6475,1249
2007/06,926.8,,7.5243,1245.99
2007/07,923.2,,7.7456,1266.91
2007/08,939.9,,8.0991,1282.26
2007/09,920.7,,7.9673,1302.88
2007/10,907.4,,7.9111,1309.92
2007/11,929.6,,8.4651,1371.76
2007/12,938.2,,8.3333,1381.26
2008/01,943.9,,8.8909,1402.31
2008/02,937.3,,8.897,1423.52
2008/03,991.7,,10.002,1565
2008/04,999.7,,9.6176,1556.23
2008/05,1031.4,,9.7703,1599.6
2008/06,1043.4,,9.8179,1647.06
2008/07,1008.5,,9.3285,1571.04
2008/08,1081.8,,9.879,1590.25
2008/09,1187.7,,11.4422,1707.2
2008/10,1291.4,,13.0603,1664.36
2008/11,1482.7,,15.5379,1912.61
2008/12,1257.5,,13.9389,1776.22
2009/01,1368.5,,15.2098,1768.72
2009/02,1516.4,,15.4114,1930.07
2009/03,1377.1,,14.148,1816.39
2009/04,1348,,13.8292,1786.84
2009/05,1272.9,,13.141,1772.7
2009/06,1284.7,,13.3628,1809.31
2009/07,1240.5,,12.9916,1745.88
2009/08,1244.9,,13.328,1779.09
2009/09,1188.7,,13.188,1734.25
2009/10,1200.6,,13.1263,1781.33
2009/11,1167.4,,13.4827,1751.68
2009/12,1167.6,,12.6282,1674.28
2010/01,1156.5,,12.87,1614.59
2010/02,1158.4,,12.9931,1569.23
2010/03,1130.8,,12.1768,1518.21
2010/04,1115.5,,11.8677,1479.32
2010/05,1200.2,,13.1854,1474.21
2010/06,1210.3,,13.6456,1475.42
2010/07,1187.2,,13.6995,1552.38
2010/08,1189.1,,14.0597,1505.94
2010/09,1142,,13.6334,1555.98
2010/10,1126.6,,13.9069,1569.3
2010/11,1157.3,,13.7341,1518.26
2010/12,1138.9,,13.9708,1513.6
2011/01,1114.3,,13.5659,1514
2011/02,1127.9,,13.8096,1549.45
2011/03,1107.2,,13.3189,1563.48
2011/04,1072.3,,13.1377,1591.24
2011/05,1080.6,,13.3556,1549.69
2011/06,1078.1,,13.3569,1560.5
2011/07,1052.6,,13.5322,1507.85
2011/08,1071.7,,13.9681,1547.27
2011/09,1179.5,,15.3661,1601.35
2011/10,1104.5,,14.5799,1562.65
2011/11,1150.3,,14.7569,1532.89
2011/12,1153.3,,14.8516,1494.1
2012/01,1125,,14.7309,1478.19
2012/02,1126.5,,13.9921,1516.33
2012/03,1137.8,,13.8074,1513.44
2012/04,1134.2,,14.1201,1501.68
2012/05,1177.8,,14.891,1456.64
2012/06,1153.8,,14.5379,1435.04
2012/07,1136.2,,14.5359,1393.09
2012/08,1134.6,,14.4397,1419.55
2012/09,1118.6,,14.4112,1444.28
2012/10,1094.1,,13.745,1418.34
2012/11,1084.7,,13.2055,1407.34
2012/12,1071.1,,12.475,1416.26
2013/01,1082.7,,11.8847,1469.28
2013/02,1085.4,,11.762,1425.78
2013/03,1112.1,,11.8013,1425.21
2013/04,1108.1,,11.3204,1451.28
2013/05,1128.3,,11.1658,1471.42
2013/06,1149.7,,11.6715,1498.23
2013/07,1113.6,,11.354,1476.74
2013/08,1110.9,,11.2919,1470.61
2013/09,1075.6,,10.9867,1451.31
2013/10,1061.4,,10.7751,1456.61
2013/11,1062.1,,10.3817,1444.83
2013/12,1055.3,,10.0466,1456.26
2014/01,1079.2,,10.4371,1473.59
2014/02,1067.7,,10.4482,1463.6
2014/03,1068.8,,10.3873,1469.39
2014/04,1031.7,,10.0531,1425.04
2014/05,1021.6,,10.0418,1389.63
2014/06,1014.4,,10,1384.15
2014/07,1024.3,,9.9572,1371.84
2014/08,1013.6,,9.7758,1336.23
2014/09,1050.6,,9.6024,1333.32
2014/10,1054,,9.6405,1328.78
2014/11,1101.1,,9.3385,1372.19
2014/12,1099.2,,9.2014,1336.52
2015/01,1090.8,,9.2136,1235.66
2015/02,1099.2,,9.2072,1230.66
2015/03,1105,,9.2026,1196.77
2015/04,1068.1,,8.9722,1187.03
2015/05,1108,,8.9463,1215.2
2015/06,1124.1,,9.1715,1260.51
2015/07,1166.3,,9.3928,1275.41
2015/08,1176.3,,9.7006,1317.28
2015/09,1194.5,,9.9679,1343.93
2015/10,1142.3,,9.4409,1254.76
2015/11,1150.4,,9.3673,1218.33
2015/12,1172,,9.7201,1280.53
2016/01,1208.4,182.78,10.1713,1322.17
2016/02,1235.4,189,10.8583,1348.32
2016/03,1153.5,177.69,10.2602,1307.43
2016/04,1143.9,175.95,10.5819,1298.38
