년월,주택담보대출금리,미국달러,일본엔,유로,소비자물가지수,소비자물가지수증감률,KOSPI_종가,KOSDAQ_종가,무담보콜금리,KORIBOR,CD,국고채_1년,국고채_10년,면적당가격
200701,6.11,940.9,7.730999999999999,1220.07,76.496,0.2,1360.23,576.37,4.63,4.91,4.92,4.98,5.04,393.01261988817305
200702,6.18,938.3,7.9389,1241.89,77.017,0.7,1417.34,600.93,4.6,4.95,4.95,4.96,5.01,406.1477929804823
200703,6.2,940.3,7.97,1253.94,77.464,0.6,1452.55,648.99,4.6,4.94,4.94,4.89,4.94,386.2121282521828
200704,6.13,929.4,7.7833,1266.91,77.761,0.4,1542.24,675.88,4.69,4.95,4.95,4.97,5.07,409.7652609514279
200705,6.17,929.9,7.6475,1249.0,77.836,0.1,1700.91,747.87,4.61,5.03,5.04,5.11,5.22,451.373400909907
200706,6.13,926.8,7.5243,1245.99,77.836,0.0,1743.6,778.69,4.54,5.04,5.03,5.15,5.48,473.2912641087771
200707,6.24,923.2,7.7456,1266.91,78.134,0.4,1933.27,811.5200000000001,4.67,5.05,5.05,5.29,5.52,449.19452746338976
200708,6.38,939.9,8.0991,1282.26,78.208,0.1,1873.24,775.13,4.92,5.2,5.21,5.3,5.42,437.55610765760645
200709,6.52,920.7,7.967300000000001,1302.88,78.655,0.6,1946.48,794.56,4.98,5.33,5.34,5.39,5.52,460.33384945872734
200710,6.55,907.4,7.9111,1309.92,78.803,0.20000000000000004,2064.85,810.07,5.0,5.340000000000001,5.340000000000001,5.340000000000001,5.56,466.8688765697497
200711,6.59,929.6000000000001,8.4651,1371.76,78.803,0.0,1906.0,741.84,5.0,5.39,5.43,5.36,5.61,482.27562069096473
200712,6.849999999999999,938.2000000000002,8.3333,1381.26,79.101,0.4000000000000001,1897.13,704.23,4.99,5.69,5.73,5.6,5.82,489.3076563428372
200801,7.079999999999999,943.9,8.8909,1402.31,79.472,0.5,1624.68,608.84,4.99,5.81,5.81,5.47,5.56,480.712726214593
200802,6.72,937.3,8.897,1423.52,79.771,0.4,1711.62,655.94,4.97,5.33,5.28,5.0,5.28,484.49284080759384
200803,6.700000000000001,991.7,10.002,1565.0,80.515,0.9000000000000001,1703.99,644.45,4.97,5.24,5.25,5.05,5.36,500.8270295804657
200804,6.8,999.7,9.6176,1556.23,80.962,0.6,1825.4700000000003,647.02,4.99,5.35,5.38,5.06,5.17,530.0385072867299
200805,6.789999999999999,1031.4,9.7703,1599.6,81.63,0.8,1852.02,652.15,4.97,5.35,5.36,5.07,5.5,547.4955377358328
200806,6.77,1043.4,9.8179,1647.0600000000002,82.151,0.6,1674.92,590.19,4.95,5.36,5.36,5.22,5.89,555.1413061761706
200807,6.92,1008.5,9.3285,1571.04,82.747,0.7,1594.67,539.44,4.98,5.5,5.52,5.41,6.03,551.6149969300019
200808,7.160000000000001,1081.8,9.879,1590.25,82.598,-0.2,1474.24,470.2799999999999,5.21,5.76,5.77,5.44,5.91,557.4821597654167
200809,7.25,1187.7,11.4422,1707.2,82.673,0.1,1448.06,440.77,5.209999999999999,5.790000000000001,5.790000000000001,5.48,5.99,556.5423767328042
